CLUSTER,LOC_ID,X,Y,RADIUS,START_DATE,END_DATE,NUMBER_LOC,TEST_STAT,P_VALUE,GBL_PVALUE,OBSERVED,EXPECTED,ODE,GINI_CLUST,START_DATE_1,END_DATE_1
1,1838,3120000,10100000,4117.36,01/03/2017,31/03/2017,165,9.844629,0.025,0.024,18,5.12,3.52,F,42795,42825
2,3032,3110000,10100000,9830.55,01/07/2017,31/07/2017,77,7.742771,0.29,0.28,8,1.32,6.05,F,42917,42947
3,273,3130000,10100000,6322.56,01/09/2017,31/10/2017,78,7.30004,0.44,0.44,18,6.29,2.86,F,42979,43039
4,387,3140000,10100000,11083.44,01/12/2017,31/12/2017,153,7.09321,0.541,0.52,21,8.17,2.57,F,43070,43100
5,3589,3130000,10100000,1133.46,01/11/2017,30/11/2017,17,6.315432,0.849,0.86,8,1.65,4.86,F,43040,43069
6,3310,3130000,10100000,2297.77,01/09/2017,30/09/2017,32,6.22209,0.893,0.89,7,1.27,5.5,F,42979,43008
7,2367,3120000,10100000,735.34,01/01/2017,31/01/2017,10,5.756143,0.982,0.98,5,0.67,7.51,F,42736,42766
8,208,3110000,10100000,1343.3,01/06/2017,30/06/2017,10,5.672049,0.992,0.99,5,0.68,7.36,F,42887,42916
9,42,3130000,10100000,1712.47,01/03/2017,30/04/2017,40,5.387147,0.997,1,12,3.92,3.06,F,42795,42855
